plotid,tag_no,target,reason,response
CC-DB1,9906_088,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_091,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_094,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_098,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB1,9906_108,stem_x y,測定値がない,変更なし（nd）。枯死・消失のため測量データ入手不可
CC-DB3,338,gbh07=nd で gbh12=28.574,前年が欠測(nd)扱いになっているが、当年gbhが22.0cmより小さい新規加入個体のため前年は測定ミスではない,
DI-DB1,A86,gbh16,成長量が基準値より大きい、測定間違い？備考欄に「番号下で測定」とあるので計測位置変更？,やや過大に思うが，あり得るかも？ note16に追加記載
DI-DB1,nWA230,gbh16,新規加入個体だが、「当年のgbhは22cm以上＆前年はna」のため前年計測忘れの疑い,サワグルミなので生長する可能性あるが，真偽は不明
FJ-AT1,405,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,405,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,406,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,406,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,410,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,410,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,412,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,412,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,418,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,418,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,419,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,419,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,423,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,423,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,426,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,426,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,427,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,427,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,428,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,428,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,430,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,430,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,431,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,431,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,432,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,432,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,433,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,433,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,434,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,434,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,435,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,435,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,436,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,436,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,437,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,437,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,438,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,438,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,443,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,443,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,446,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,446,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,447,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,447,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,449,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,449,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,450,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,450,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,452,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,452,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,453,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,453,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,454,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,454,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,455,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,455,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,456,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,456,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,462,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,462,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,464,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,464,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,465,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,465,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,466,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,466,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,467,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,467,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,468,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,468,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,470,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,470,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,473,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,473,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,475,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,475,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,478,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,478,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,480,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,480,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,481,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,481,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,483,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,483,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,488,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,488,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,491,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,491,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,493,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,493,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,496,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,496,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,497,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,497,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,503,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,503,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,513,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,513,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,514,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,514,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,515,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,515,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,516,gbh09,誤って「測定間違い」となっている可能性あり,
FJ-AT1,517,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,517,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,518,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,518,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,520,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,520,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,526,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,526,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,527,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,527,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,531,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,531,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,533,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,533,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,536,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,536,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,538,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,538,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,539,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,539,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,542,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,542,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,543,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,543,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,544,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,544,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,545,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,545,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,546,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,546,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,548,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,548,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,549,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,549,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,550,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,550,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,551,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,551,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,552,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,552,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,554,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,554,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,561,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,561,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,565,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,565,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,566,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,566,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,571,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,571,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,575,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,575,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,585,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,585,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,586,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,586,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,587,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,587,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,594,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,594,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,595,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,595,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,596,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,596,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,601,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,601,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,617,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,617,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,628,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,628,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,636,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,636,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,638,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,638,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,641,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,641,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,644,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,644,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,648,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,648,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,652,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,652,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,653,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,653,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,657,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,657,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,658,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,658,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,659,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,659,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,660,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,660,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,663,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,663,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,665,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,665,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,667,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,667,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,669,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,669,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,670,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,670,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,671,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,671,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,674,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,674,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,675,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,675,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,679,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,679,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,682,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,682,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,684,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,684,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,685,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,685,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,688,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,688,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,689,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,689,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,690,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,690,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,691,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,691,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,693,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,693,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,694,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,694,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,696,gbh09,誤って「測定間違い」となっている可能性あり,
FJ-AT1,697,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,697,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,704,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,704,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,705,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,705,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,707,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,707,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,708,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,708,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,709,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,709,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,713,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,713,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,714,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,714,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,715,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,715,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,717,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,717,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,720,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,720,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,721,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,721,stem_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
FJ-AT1,722,mesh_x y,測定値がない,位置測定時（201607〜08）に既に枯死などで位置が測定できなかった
